loss	type	model	procedure	set
0.843745358	training	ALRo	split-imputation_split-transformation	non_leaky
0.84073636	training	ALRo	split-imputation_split-transformation	non_leaky
0.842409208	training	ALRo	split-imputation_split-transformation	non_leaky
0.843564792	training	ALRo	split-imputation_split-transformation	non_leaky
0.842782146	training	ALRo	split-imputation_split-transformation	non_leaky
0.844447215	training	ALRo	split-imputation_split-transformation	non_leaky
0.842592082	training	ALRo	split-imputation_split-transformation	non_leaky
0.843767158	training	ALRo	split-imputation_split-transformation	non_leaky
0.84228331	training	ALRo	split-imputation_split-transformation	non_leaky
0.84235682	training	ALRo	split-imputation_split-transformation	non_leaky
0.813591616	test	ALRo	split-imputation_split-transformation	non_leaky
0.813591616	test	ALRo	split-imputation_split-transformation	non_leaky
0.813591616	test	ALRo	split-imputation_split-transformation	non_leaky
0.813591616	test	ALRo	split-imputation_split-transformation	non_leaky
0.813591616	test	ALRo	split-imputation_split-transformation	non_leaky
0.813591616	test	ALRo	split-imputation_split-transformation	non_leaky
0.813591616	test	ALRo	split-imputation_split-transformation	non_leaky
0.813591616	test	ALRo	split-imputation_split-transformation	non_leaky
0.813591616	test	ALRo	split-imputation_split-transformation	non_leaky
0.813909178	test	ALRo	split-imputation_split-transformation	non_leaky
0.848728394	training	CLR	split-imputation_split-transformation	non_leaky
0.848794209	training	CLR	split-imputation_split-transformation	non_leaky
0.848616587	training	CLR	split-imputation_split-transformation	non_leaky
0.84789379	training	CLR	split-imputation_split-transformation	non_leaky
0.849876092	training	CLR	split-imputation_split-transformation	non_leaky
0.85075104	training	CLR	split-imputation_split-transformation	non_leaky
0.848067156	training	CLR	split-imputation_split-transformation	non_leaky
0.849728889	training	CLR	split-imputation_split-transformation	non_leaky
0.847622002	training	CLR	split-imputation_split-transformation	non_leaky
0.847253502	training	CLR	split-imputation_split-transformation	non_leaky
0.81168625	test	CLR	split-imputation_split-transformation	non_leaky
0.81168625	test	CLR	split-imputation_split-transformation	non_leaky
0.81168625	test	CLR	split-imputation_split-transformation	non_leaky
0.81168625	test	CLR	split-imputation_split-transformation	non_leaky
0.81168625	test	CLR	split-imputation_split-transformation	non_leaky
0.81168625	test	CLR	split-imputation_split-transformation	non_leaky
0.81168625	test	CLR	split-imputation_split-transformation	non_leaky
0.81168625	test	CLR	split-imputation_split-transformation	non_leaky
0.81168625	test	CLR	split-imputation_split-transformation	non_leaky
0.81168625	test	CLR	split-imputation_split-transformation	non_leaky
